variant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
dialect-RuralAfricanAmericanVernacular,0.1,0.0,0.2,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.1,0.2,0.0,0.1,0.2,0.3,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.7,0.0,0.2,0.3,0.5,0.6,0.6,0.6,1.0,0.9,0.5,0.2,0.3,0.4,0.2,0.7,0.9,1.0,0.2,0.7
dialect-ScottishDialect,0.1,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.5,0.0,0.0,0.6,0.5,0.5,0.5,0.6,1.0,0.7,0.4,0.2,0.3,0.5,0.1,0.6,0.8,1.0,0.1,0.6
dialect-SoutheastAmericanEnclaveDialect,0.0,0.1,0.2,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.5,0.0,0.1,0.6,0.6,0.5,0.5,0.6,0.9,1.0,0.4,0.3,0.5,0.2,0.2,0.6,0.8,1.0,0.1,0.6
dialect-SoutheastEnglandDialect,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.1,0.6,0.0,0.0,0.5,0.4,0.4,0.5,0.6,0.8,0.7,0.3,0.3,0.1,0.1,0.1,0.5,0.8,1.0,0.1,0.7
dialect-SouthwestEnglandDialect,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.3,0.1,0.0,0.0,0.3,0.3,0.2,0.6,0.0,0.2,0.4,0.5,0.4,0.6,0.6,0.9,0.9,0.3,0.3,0.2,0.4,0.1,0.7,0.7,1.0,0.1,0.6
dialect-SriLankanDialect,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.5,0.0,0.0,0.4,0.6,0.4,0.5,0.6,1.0,0.8,0.4,0.2,0.2,0.4,0.1,0.6,0.8,1.0,0.1,0.6
dialect-StHelenaDialect,0.0,0.0,0.2,0.3,0.0,0.0,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.2,0.1,0.0,0.0,0.3,0.2,0.2,0.5,0.0,0.3,0.5,0.5,0.4,0.5,0.6,1.0,0.8,0.4,0.2,0.4,0.5,0.1,0.7,0.9,1.0,0.3,0.7
dialect-TanzanianDialect,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.1,0.0,0.1,0.1,0.2,0.1,0.5,0.0,0.0,0.5,0.5,0.6,0.6,0.6,0.9,0.9,0.4,0.2,0.2,0.3,0.1,0.6,0.7,1.0,0.2,0.7
dialect-TristanDialect,0.0,0.0,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.1,0.6,0.0,0.1,0.3,0.6,0.5,0.6,0.7,0.9,0.9,0.4,0.3,0.3,0.4,0.1,0.7,0.8,1.0,0.3,0.6
dialect-UgandanDialect,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.2,0.2,0.1,0.5,0.0,0.0,0.6,0.4,0.3,0.6,0.7,0.9,0.7,0.3,0.4,0.0,0.2,0.1,0.6,0.8,1.0,0.2,0.6
dialect-WelshDialect,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.4,0.3,0.1,0.6,0.0,0.0,0.5,0.6,0.4,0.7,0.6,0.7,0.9,0.4,0.4,0.5,0.5,0.1,0.6,0.9,0.9,0.4,0.8
dialect-WhiteSouthAfricanDialect,0.0,0.0,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.1,0.0,0.0,0.1,0.3,0.0,0.6,0.0,0.0,0.3,0.6,0.5,0.5,0.6,0.8,0.7,0.3,0.3,0.0,0.2,0.1,0.6,0.8,1.0,0.1,0.6
dialect-WhiteZimbabweanDialect,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.2,0.3,0.1,0.5,0.1,0.0,0.5,0.6,0.6,0.6,0.5,1.0,0.8,0.4,0.3,0.1,0.2,0.1,0.6,0.9,1.0,0.1,0.5
